,chq,faq
7053,"   If you are on 3 medications for hypertension and you're not controlled, do you add a fourth medication or do you take away some of the others and change medications? Hypertension ","   If a hypertensive patient is not controlled on three medications, do you add a fourth?"
7054,"   If you are on 3 medications for hypertension and you're not controlled, do you add a fourth medication or do you take away some of the others and change medications? Hypertension ",   What is optimal treatment for depression in pregnancy? (now on Paxil)
7055,"   We had this girl with a latex allergy and wanted to give her a flu shot, but she has a latex allergy.  The stopper in the flu vaccine vial has latex in it so the question was how to deal with that. Hypersensitivity ",   How should you draw up the influenza vaccine for a child with a latex allergy (stopper is latex)?
7056,"   We had an 8-year-old girl with joint pain and a positive antistreptolysin O titer but no other symptoms to go with rheumatic fever.  ""Is that mild rheumatic fever?"" Pain, Postoperative Fever Rheumatic Diseases Rheumatic Fever Rheumatic Fever Acute Articular Rheumatism ",   Could a positive antistreptolysin O titer with joint pains represent mild rheumatic fever?
7057,"   We had an 8-year-old girl with joint pain and a positive antistreptolysin O titer but no other symptoms to go with rheumatic fever.  ""Is that mild rheumatic fever?"" Pain, Postoperative Fever Rheumatic Diseases Rheumatic Fever Rheumatic Fever Acute Articular Rheumatism ","   Which drug (for Staphylococcus aureus urinary tract infection), would be safe in pregnancy?"
7058,   We had a baby who's mother broke out with Zoster a couple of days after she was born and the baby had a couple of skin lesions too.  The question was what to do with the baby. Skin Abnormalities ,   How should you treat a baby whose mother gets Zoster 2 of days after birth?
7059,   We had a baby who's mother broke out with Zoster a couple of days after she was born and the baby had a couple of skin lesions too.  The question was what to do with the baby. Skin Abnormalities ,   Is this male child depressed?  May have attention-deficit-hyperactivity-disorder also.
7060,"   50-year-old woman with cataracts and high cholesterol.  So the question is, can she continue to take Zocor since she has cataracts?  The question is, are cataracts going to happen with EVERYBODY who takes them? Cataract ",   Can patients with cataracts take Zocor?
7061,"   50-year-old woman with cataracts and high cholesterol.  So the question is, can she continue to take Zocor since she has cataracts?  The question is, are cataracts going to happen with EVERYBODY who takes them? Cataract ",   Can you use Prozac along with lithium?
7062,"   Have you heard of the new rules for ordering lipids?  I (investigator) said, ""so the question is . . . what should I do with this?""  She said, ""Yeah.  How do I follow therapy?  Should I just order the whole panel and tell the patients they have to pay?"" ",   How often should lipids be checked in a patient on treatment?
7063,"   Have you heard of the new rules for ordering lipids?  I (investigator) said, ""so the question is . . . what should I do with this?""  She said, ""Yeah.  How do I follow therapy?  Should I just order the whole panel and tell the patients they have to pay?"" ",   What is a good steroid eye drop?
7064,   What do you do with heparin anticoagulation in pregnancy? ,   What anticoagulation should a pregnant patient have if she has had a thrombosis?
7065,   What do you do with heparin anticoagulation in pregnancy? ,   What are the indications for getting a digoxin level?
7066,"   45-year-old woman.  With chronic lung disease, there have been studies indicating the need to give antibiotics if there is green or yellow phlegm.  But I have not seen . . . .  My question is what about the nonsmoker and non-chronic-lung-disease patient. Lung Diseases ",   What are the clinical findings that justify antibiotics in patients with respiratory infections?
7067,"   45-year-old woman.  With chronic lung disease, there have been studies indicating the need to give antibiotics if there is green or yellow phlegm.  But I have not seen . . . .  My question is what about the nonsmoker and non-chronic-lung-disease patient. Lung Diseases ",   What antibiotics can he take because he's on a nevirapine study?
7068,"   35-year-old man.  Gynecomastia in males.  My question is, is there any way of clinically knowing that it is benign, so that I would not have to refer? ",   Is there a way of knowing clinically whether gynecomastia is benign?
7069,"   35-year-old man.  Gynecomastia in males.  My question is, is there any way of clinically knowing that it is benign, so that I would not have to refer? ",   On nonstress test after every acceleration brief sharp not deep deceleration. Important?
7070,   66-year-old woman with a Baker's cyst.  How many Baker's cysts are related to deep-vein thrombosis?  How many people with Baker's cysts get deep vein thromboses? Thrombosis Venous Thrombosis ,   Is there any association between Baker's cyst and deep vein thrombosis?
7071,   66-year-old woman with a Baker's cyst.  How many Baker's cysts are related to deep-vein thrombosis?  How many people with Baker's cysts get deep vein thromboses? Thrombosis Venous Thrombosis ,   Should we switch to Ancef for this diabetic foot ulcer? Improvement adequate?
7072,"   What is the Augmentin dose for this 16-kilogram girl with otitis media?  Actually I know that, but what I really need to know is what concentrations Augmentin syrup comes in. Infection Communicable Diseases Otitis Otitis Externa Arthritis, Infectious ",   What concentrations does Augmentin syrup come in?
7073,"   What is the Augmentin dose for this 16-kilogram girl with otitis media?  Actually I know that, but what I really need to know is what concentrations Augmentin syrup comes in. Infection Communicable Diseases Otitis Otitis Externa Arthritis, Infectious ","   Is Serzone okay to give to with a partial gastrectomy; that is, will it be absorbed?"
7074,   37-year-old on Triphasil with 10 days of bleeding starting 5 days before the placebo pills.  I'm just checking the dose of Provera for dysfunctional uterine bleeding. Hemorrhage Hemorrhage Uterine Hemorrhage Metrorrhagia ,   What is the approach to a woman on the pill with irregular bleeding?
7075,   37-year-old on Triphasil with 10 days of bleeding starting 5 days before the placebo pills.  The study physician asked me (investigator) how I would treat this patient. Hemorrhage ,   What is the dose of Provera?
7076,   37-year-old on Triphasil with 10 days of bleeding starting 5 days before the placebo pills.  The study physician asked me (investigator) how I would treat this patient. Hemorrhage ,   What are the causes of tinnitus?
7077,   What do you do for mild vesicoureteral reflux?  What kind of followup do you do and how often?  Do you repeat it (the voiding cystourethrogram)? Gastroesophageal Reflux Vesico-Ureteral Reflux ,   How do you follow up mild vesicoureteral reflux?
7078,   What do you do for mild vesicoureteral reflux?  What kind of followup do you do and how often?  Do you repeat it (the voiding cystourethrogram)? Gastroesophageal Reflux Vesico-Ureteral Reflux ,   Patient going to Cancun.  Does he need Hepatitis A vaccine?
7079,"   2-year-old with otitis media.  What is the dose of Augmentin?  Then he remembered she was allergic to penicillin and the question became, ""What is the dose of Biaxin?"" Infection Communicable Diseases Otitis Otitis Externa Arthritis, Infectious Rhinitis Rhinitis, Allergic ",   What is the dose of Biaxin?
7080,"   2-year-old with otitis media.  What is the dose of Augmentin?  Then he remembered she was allergic to penicillin and the question became, ""What is the dose of Biaxin?"" Infection Communicable Diseases Otitis Otitis Externa Arthritis, Infectious Rhinitis Rhinitis, Allergic ",   Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?
7081,"   ""What do you do about . . . ?  What about . . . ?  One of my pet peeves . . . .  Do I need to take magnesium for my osteoporosis?"" Osteoporosis Fractures, Bone ",   Do you need to take magnesium to prevent osteoporosis?
7082,"   ""What do you do about . . . ?  What about . . . ?  One of my pet peeves . . . .  Do I need to take magnesium for my osteoporosis?"" Osteoporosis Fractures, Bone ",   Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?
